File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Code\fs_project\count line copy\project\main_screen.dart,_platformList(),77,73,8,2,4,1,0,4,
C:\Code\fs_project\count line copy\project\recommandation.dart,main(),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\project\search_and_api_call.dart,main(),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\project\subscrible_page.dart,main(),2,2,2,0,0,0,0,0,
