Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,31,4173,3493,1364,194,306,56,374,1024,305,624
C:\Code\fs_project\count line copy\project,31,4173,3493,1364,194,306,56,374,1024,305,624
