Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,369,321,20,52,48,0,0,0,0,0
C:\Code\fs_project\count line copy\webtoonDB\serverLoc,1,369,321,20,52,48,0,0,0,0,0
